X,Y,Z
1064.322144,25.0,-484.047363
933.848022,8.0,-261.601562
330.256531,25.0,326.063629
1711.658691,25.0,368.942352
-750.051208,25.000002,-635.78186
2073.126221,25.0,-1285.848267
-811.437744,11.0,-662.999756
-1270.666382,25.0,-809.996216
-947.09668,25.0,-578.531677
730.579712,25.000002,1086.473145
-191.739975,25.0,444.286102
1698.443726,25.0,-738.021057
266.379028,25.0,694.092041
1765.287231,25.0,-1171.895752
644.307861,25.0,-553.723877
968.781677,25.0,791.804688
-876.0979,25.0,490.85083
175.33197,47.0,-68.185654
-788.676514,17.0,-907.809448
640.923218,25.0,44.524071
-491.35495,26.0,-80.787323
-1159.14856,25.0,-577.720337
985.464233,25.0,-278.258698
-900.543457,25.0,-650.338623
-536.252808,41.0,-188.136841
-955.737671,25.000002,698.03418
-769.587646,25.0,-0.401814
-1285.132568,25.0,469.732544
-13.370314,24.999998,577.504333
1247.20459,14.0,79.410538
-411.119232,38.0,-284.945038
-1028.18103,25.0,-135.402069
423.778717,11.0,-605.918518
247.464569,25.0,508.053986
263.151093,14.0,-512.153564
797.427246,32.0,-1180.338745
-406.398285,25.0,578.229553
-87.383545,14.0,-148.716599
-536.297668,25.0,370.073364
186.051437,25.0,1082.450562
876.595154,25.0,-122.158867
925.807007,8.0,-332.103302
-1383.479126,11.0,348.478088
349.256805,25.0,-674.151978
1672.995361,25.0,-1229.827148
-842.254272,25.0,1084.263184
1658.808472,25.0,-644.261719
455.020081,25.0,633.088318
370.664917,25.0,856.329041
-481.055878,25.000002,-406.468903
116.823006,14.0,884.658569
618.828003,25.0,867.577026
-395.748627,25.0,386.495575
-1115.579712,25.0,1153.788818
-621.489197,14.0,-1354.179932
-1195.747681,25.0,-555.966797
1895.59729,25.0,-1295.279541
-187.315613,56.0,-419.291138
980.044617,25.0,-477.291748
-696.097595,17.0,-752.929993
-657.892883,25.0,-241.69516
-1288.726196,25.0,-651.552246
-108.033989,11.0,-951.037842
-1314.334717,25.0,-331.670898
302.754974,25.0,799.810791
667.652344,14.0,-377.212952
259.720154,29.0,-81.207169
-322.341522,11.0,-187.687195
326.449066,25.0,665.86499
-618.841919,25.0,582.726868
1890.68103,11.0,-762.19696
-126.772675,53.0,-274.183716
-957.817444,17.0,-657.075562
879.094482,25.0,704.645142
346.586884,26.000002,-269.195251
-487.550507,38.0,6.730925
420.276733,20.0,-1017.852051
-1006.860718,25.0,-406.152954
535.333679,14.0,-1023.206177
288.539337,25.0,-348.178528
-197.256439,57.0,-512.392822
102.656372,108.0,480.979309
-1231.684448,25.0,-565.999817
-996.499512,65.0,1.768116
-852.891724,25.0,554.39856
782.342896,11.000001,183.103455
1449.234985,25.0,166.932709
1337.542114,25.0,667.147217
189.177399,25.0,1054.479614
658.553772,23.0,-1164.622803
1647.68811,25.0,609.260986
-394.822906,25.0,-423.194672
-572.205933,35.0,-679.687256
-562.890991,14.0,-559.929932
769.116943,11.0,204.693314
-724.965576,24.999998,-592.062744
-1573.109619,25.0,-129.826172
1443.126709,25.0,-976.258911
1778.914062,24.999998,-914.704346
-229.901794,11.000001,695.375122
132.804352,32.0,-233.305511
-176.890503,25.0,171.980759
-266.166351,136.999985,-283.091919
149.966202,17.0,41.787392
-572.591919,25.0,1093.91626
938.018616,25.0,-607.08252
583.066284,26.000002,-661.661011
-408.727875,17.0,-851.791138
814.275635,25.0,829.743103
-597.780396,25.0,200.132828
-408.105621,25.0,368.724243
-289.951874,25.0,-476.786469
667.998169,14.0,-374.042999
-774.982178,17.0,-881.229553
151.186386,25.0,-1148.727539
170.639954,25.0,616.005005
805.216675,25.0,525.376038
-609.929688,25.000002,-954.10144
-379.505981,17.0,-800.693359
