X,Y,Z
2127.849365,2.0,83.673096
812.691284,2.0,399.69043
384.01059,2.0,97.218506
663.778564,2.0,-187.556396
219.924347,2.0,869.872803
2287.945557,2.0,-1175.270142
1593.395386,2.0,95.417847
1275.962524,2.0,1059.27417
802.275574,2.0,1337.386963
1464.370605,2.0,-708.159851
1489.505371,2.0,65.651794
1007.344849,2.0,-194.870728
857.098633,2.0,63.724304
-114.443764,2.0,640.052856
-783.301941,2.0,1291.316162
1010.162048,2.0,761.483521
573.397034,2.0,-163.891663
2335.979736,2.0,1083.178467
1414.5802,2.0,21.357788
355.526154,2.0,1289.16333
1987.476562,2.0,-1006.21405
-603.554504,2.0,916.880798
782.500977,2.0,838.242859
1293.723267,2.0,-40.781677
1981.507568,2.0,-499.860535
785.9729,2.0,192.514404
871.834595,2.0,313.849731
1648.491455,2.0,-910.766113
2309.898438,2.0,413.038208
2079.419678,2.0,100.440735
2196.561035,2.0,273.465698
851.722229,2.0,1200.59082
444.64975,2.0,187.457031
-1213.970093,2.0,1385.841919
822.760437,2.0,1126.916748
1674.301514,2.0,-838.333252
1781.296143,2.0,-763.211975
1257.120239,2.0,1100.735718
2262.344971,2.0,898.466919
2359.798828,2.0,-8.670654
935.143372,2.0,-52.529846
303.862823,2.0,149.8078
2033.763794,2.0,-57.199158
91.090843,2.0,311.19812
2327.008789,2.0,942.862427
2026.983276,2.0,-15.820129
-148.495255,2.0,1473.192383
1249.081909,2.0,1056.500488
1109.130493,2.0,204.06427
-2.231375,2.0,1405.148926
-993.53595,2.0,1468.14209
2148.733887,2.0,-281.40094
1076.149292,2.0,795.256226
925.117676,2.0,-301.719055
1882.159546,2.0,-525.04834
2223.74292,2.0,-972.101929
1309.390015,2.0,837.985596
1434.667114,2.0,556.423401
1956.470337,2.0,638.089722
1421.267944,2.0,-563.201538
1309.754639,2.0,-206.299072
2244.342773,2.0,-1023.945618
353.445526,2.0,697.577515
-146.735352,2.0,888.228271
2001.891357,2.0,-463.622437
-515.835693,2.0,1372.945068
671.711182,2.0,-315.061646
1870.476196,2.0,284.284851
-43.171669,2.0,297.334717
447.285797,2.0,191.820068
953.932068,2.0,-266.59845
1374.185181,2.0,681.011597
-296.608734,2.0,565.158325
1115.089478,2.0,249.237
1335.377441,2.0,381.809265
-11.032446,2.0,551.528931
-1163.830078,2.0,1187.479858
771.556641,2.0,-336.835083
2206.17749,2.0,-260.913818
807.163452,2.0,970.543335
2069.683105,2.0,1436.307129
1557.047729,2.0,37.195801
2122.163818,2.0,706.422852
-77.634026,2.0,1353.106689
670.780701,2.0,-266.704895
1529.072144,2.0,574.238159
856.046509,2.0,96.677795
2093.11377,2.0,456.369263
2203.736572,2.0,-156.110107
456.760559,2.0,951.389526
1297.752197,2.0,427.062073
941.213501,2.0,2.367126
611.124512,2.0,373.017456
1375.421509,2.0,-11.221191
2168.98584,2.0,777.676392
1955.464478,2.0,974.827881
1505.848022,2.0,893.24939
2119.220703,2.0,616.003174
757.845093,2.0,42.330688
